Protokollnummer,Name,Position,Partei,Geschlecht,Jahrgang,Oberthema,Unterthema,Dreiklang
47,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
47,Dennis Birnstock,Abg,FDP/DVP,m,1991,,,
47,Dr Christian Jung,Abg,FDP/DVP,m,1977,,,
47,Dr Christian Jung,Abg,FDP/DVP,m,1977,,,
47,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
47,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
47,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
47,Frank Bonath,Abg,FDP/DVP,m,1972,,,
47,Klaus Hoher,Abg,FDP/DVP,m,1968,,,
47,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
47,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
47,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
47,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
47,Rudi Fischer,Abg,FDP/DVP,m,1954,,,
47,Stephen Brauer,Abg,FDP/DVP,m,1970,,,
47,Stephen Brauer,Abg,FDP/DVP,m,1970,,,
48,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
48,Dennis Birnstock,Abg,FDP/DVP,m,1991,,,
48,Dr Hans Ulrich Ruelke,Abg,FDP/DVP,m,1961,,,
49,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
49,Dennis Birnstock,Abg,FDP/DVP,m,1991,,,
49,Dr Christian Jung,Abg,FDP/DVP,m,1977,,,
49,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
49,Dr Hans Ulrich Ruelke,Abg,FDP/DVP,m,1961,,,
49,Friedrich Haag,Abg,FDP/DVP,m,1989,,,
49,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
49,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
49,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
49,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
49,Rudi Fischer,Abg,FDP/DVP,m,1954,,,
50,Alena Trauschel,Abg,FDP/DVP,w,1999,,,
50,Dennis Birnstock,Abg,FDP/DVP,m,1991,,,
50,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
50,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
50,Dr Hans Ulrich Ruelke,Abg,FDP/DVP,m,1961,,,
50,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
50,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
50,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
50,Rudi Fischer,Abg,FDP/DVP,m,1954,,,
51,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
51,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
51,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
51,Dr Hans Ulrich Ruelke,Abg,FDP/DVP,m,1961,,,
51,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
51,Julia Goll,Abg,FDP/DVP,w,1964,,,
51,Julia Goll,Abg,FDP/DVP,w,1964,,,
51,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
51,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
51,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
52,Dennis Birnstock,Abg,FDP/DVP,m,1991,,,
52,Dennis Birnstock,Abg,FDP/DVP,m,1991,,,
52,Dr Christian Jung,Abg,FDP/DVP,m,1977,,,
52,Dr Timm Kern,Abg,FDP/DVP,m,1972,,,
52,Frank Bonath,Abg,FDP/DVP,m,1972,,,
52,Friedrich Haag,Abg,FDP/DVP,m,1989,,,
52,Georg Heitlinger,Abg,FDP/DVP,m,1970,,,
52,Jochen Haussmann,Abg,FDP/DVP,m,1966,,,
52,Stephen Brauer,Abg,FDP/DVP,m,1970,,,
53,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
53,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
53,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
53,Rudi Fischer,Abg,FDP/DVP,m,1954,,,
53,Stephen Brauer,Abg,FDP/DVP,m,1970,,,
54,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
54,Dr Hans Ulrich Ruelke,Abg,FDP/DVP,m,1961,,,
54,Frank Bonath,Abg,FDP/DVP,m,1972,,,
54,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
54,Jochen Haussmann,Abg,FDP/DVP,m,1966,,,
54,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
54,Rudi Fischer,Abg,FDP/DVP,m,1954,,,
54,Rudi Fischer,Abg,FDP/DVP,m,1954,,,
54,Stephen Brauer,Abg,FDP/DVP,m,1970,,,
55,Alena Trauschel,Abg,FDP/DVP,w,1999,,,
55,Dr Timm Kern,Abg,FDP/DVP,m,1972,,,
55,Julia Goll,Abg,FDP/DVP,w,1964,,,
55,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
56,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
56,Dennis Birnstock,Abg,FDP/DVP,m,1991,,,
56,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
56,Dr Hans Ulrich Ruelke,Abg,FDP/DVP,m,1961,,,
56,Dr Timm Kern,Abg,FDP/DVP,m,1972,,,
56,Jochen Haussmann,Abg,FDP/DVP,m,1966,,,
56,Jochen Haussmann,Abg,FDP/DVP,m,1966,,,
56,Klaus Hoher,Abg,FDP/DVP,m,1968,,,
56,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
57,Alena Trauschel,Abg ,FDP/DVP,w,1999,,,
57,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
57,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
57,Friedrich Haag,Abg,FDP/DVP,m,1989,,,
57,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
57,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
57,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
57,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
57,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
57,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
57,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
57,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
57,Stephen Brauer,Abg,FDP/DVP,m,1970,,,
58,Dr Timm Kern,Abg ,FDP/DVP,m,1972,,,
58,Hans Dieter Scheerer,Abg ,FDP/DVP,m,1958,,,
58,Julia Goll,Abg ,FDP/DVP,w,1964,,,
58,Julia Goll,Abg ,FDP/DVP,w,1964,,,
58,Stephen Brauer,Abg ,FDP/DVP,m,1970,,,
59,Alena Trauschel,Abg,FDP/DVP,w,1999,,,
59,Dr Christian Jung,Abg,FDP/DVP,m,1977,,,
59,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
59,Dr Hans Ulrich Ruelke,Abg,FDP/DVP,m,1961,,,
59,Frank Bonath,Abg,FDP/DVP,m,1972,,,
59,Julia Goll,Abg,FDP/DVP,w,1964,,,
59,Klaus Hoher,Abg,FDP/DVP,m,1968,,,
59,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
60,Dennis Birnstock,Abg,FDP/DVP,m,1991,,,
60,Dr Christian Jung,Abg,FDP/DVP,m,1977,,,
60,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
60,Dr Hans Ulrich Ruelke,Abg,FDP/DVP,m,1961,,,
60,Dr Timm Kern,Abg,FDP/DVP,m,1972,,,
60,Friedrich Haag,Abg,FDP/DVP,m,1989,,,
60,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
60,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
60,Stephen Brauer,Abg,FDP/DVP,m,1970,,,
61,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
61,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
61,Julia Goll,Abg,FDP/DVP,w,1964,,,
61,Julia Goll,Abg,FDP/DVP,w,1964,,,
61,Stephen Brauer,Abg,FDP/DVP,m,1970,,,
62,Alena Trauschel,Abg,FDP/DVP,w,1999,,,
62,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
62,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
62,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
62,Dr Timm Kern,Abg,FDP/DVP,m,1972,,,
62,Frank Bonath,Abg,FDP/DVP,m,1972,,,
62,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
62,Jochen Haussmann,Abg,FDP/DVP,m,1966,,,
62,Julia Goll,Abg,FDP/DVP,w,1964,,,
63,Daniel Karrais,Abg,FDP/DVP,m,1990,,,
63,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
63,Dr Erik Schweickert,Abg,FDP/DVP,m,1972,,,
63,Frank Bonath,Abg,FDP/DVP,m,1972,,,
63,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
63,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
63,Jochen Haussmann,Abg,FDP/DVP,m,1966,,,
63,Nico Weinmann,Abg,FDP/DVP,m,1972,,,
63,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
63,Nikolai Reith,Abg,FDP/DVP,m,1969,,,
63,Rudi Fischer,Abg,FDP/DVP,m,1954,,,
64,Alena Trauschel,Abg,FDP/DVP,w,1999,,,
64,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
64,Hans Dieter Scheerer,Abg,FDP/DVP,m,1958,,,
64,Jochen Haussmann,Abg,FDP/DVP,m,1966,,,
18,Dr Andre Baumann,Staatssekretaer,GRUENE,m,1973,,,
23,Hans Ulrich Sckerl,Abg,GRUENE,m,1951,,,
32,Theresia Bauer,Ministerin,GRUENE,w,1965,,,
32,Dr Ute Leidig,Staatssekretaerin,GRUENE,w,1963,,,
60,Dr Gisela Splett,Staatssekretaerin,GRUENE,w,1967,,,
60,Dr Ute Leidig,Staatssekretaerin,GRUENE,w,1963,,,
60,Elke Zimmer,Staatssekretaerin,GRUENE,w,1966,,,
60,Elke Zimmer,Staatssekretaerin,GRUENE,w,1966,,,
1,Andreas Stoch,Abg,SPD,m,1969,,,
1,Daniel Born,Abg,SPD,m,1975,,,
5,Andreas Stoch,Abg,SPD,m,1969,,,
5,Dr Boris Weirauch,Abg,SPD,m,1977,,,
6,Andreas Stoch,Abg,SPD,m,1969,,,
6,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
6,Sascha Binder,Abg,SPD,m,1983,,,
7,Andreas Stoch,Abg,SPD,m,1969,,,
7,Dr Boris Weirauch,Abg,SPD,m,1977,,,
7,Dr Boris Weirauch,Abg,SPD,m,1977,,,
7,Florian Wahl,Abg,SPD,m,1984,,,
7,Gabriele Rolland,Abg,SPD,w,1963,,,
7,Gernot Gruber,Abg,SPD,m,1963,,,
7,Hans Peter Storz,Abg,SPD,m,1960,,,
7,Jan Peter Roederer,Abg,SPD,m,1986,,,
7,Jonas Weber,Abg,SPD,m,1982,,,
7,Klaus Ranger,Abg,SPD,m,1961,,,
7,Sascha Binder,Abg,SPD,m,1983,,,
7,Sascha Binder,Abg,SPD,m,1983,,,
8,Andreas Stoch,Abg,SPD,m,1969,,,
8,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
8,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
8,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
8,Klaus Ranger,Abg,SPD,m,1961,,,
8,Nicolas Fink,Abg,SPD,m,1976,,,
8,Sascha Binder,Abg,SPD,m,1983,,,
8,Sebastian Cuny,Abg,SPD,m,1978,,,
9,Andreas Stoch,Abg,SPD,m,1969,,,
9,Dr Boris Weirauch,Abg,SPD,m,1977,,,
9,Florian Wahl,Abg,SPD,m,1984,,,
9,Jan Peter Roederer,Abg,SPD,m,1986,,,
10,Andreas Stoch,Abg,SPD,m,1969,,,
10,Florian Wahl,Abg,SPD,m,1984,,,
10,Florian Wahl,Abg,SPD,m,1984,,,
10,Hans Peter Storz,Abg,SPD,m,1960,,,
10,Jonas Weber,Abg,SPD,m,1982,,,
10,Jonas Weber,Abg,SPD,m,1982,,,
10,Nicolas Fink,Abg,SPD,m,1976,,,
10,Sascha Binder,Abg,SPD,m,1983,,,
11,Dr Boris Weirauch,Abg,SPD,m,1977,,,
11,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
11,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
11,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
11,Gabriele Rolland,Abg,SPD,w,1963,,,
11,Gernot Gruber,Abg,SPD,m,1963,,,
11,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
11,Martin Rivoir,Abg,SPD,m,1960,,,
12,Andreas Stoch,Abg,SPD,m,1969,,,
12,Dr Boris Weirauch,Abg,SPD,m,1977,,,
12,Hans Peter Storz,Abg,SPD,m,1960,,,
12,Sascha Binder,Abg,SPD,m,1983,,,
13,Dr Boris Weirauch,Abg,SPD,m,1977,,,
13,Gabriele Rolland,Abg,SPD,w,1963,,,
13,Gernot Gruber,Abg,SPD,m,1963,,,
13,Gernot Gruber,Abg,SPD,m,1963,,,
13,Hans Peter Storz,Abg,SPD,m,1960,,,
13,Hans Peter Storz,Abg,SPD,m,1960,,,
13,Hans Peter Storz,Abg,SPD,m,1960,,,
13,Klaus Ranger,Abg,SPD,m,1961,,,
13,Klaus Ranger,Abg,SPD,m,1961,,,
13,Nicolas Fink,Abg,SPD,m,1976,,,
14,Andreas Kenner,Abg,SPD,m,1956,,,
14,Andreas Stoch,Abg,SPD,m,1969,,,
14,Dr Boris Weirauch,Abg,SPD,m,1977,,,
14,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
14,Gabriele Rolland,Abg,SPD,w,1963,,,
14,Gabriele Rolland,Abg,SPD,w,1963,,,
14,Gabriele Rolland,Abg,SPD,w,1963,,,
14,Gabriele Rolland,Abg,SPD,w,1963,,,
14,Sascha Binder,Abg,SPD,m,1983,,,
15,Florian Wahl,Abg,SPD,m,1984,,,
15,Gabriele Rolland,Abg,SPD,w,1963,,,
15,Gabriele Rolland,Abg,SPD,w,1963,,,
15,Gabriele Rolland,Abg,SPD,w,1963,,,
15,Gernot Gruber,Abg,SPD,m,1963,,,
15,Hans Peter Storz,Abg,SPD,m,1960,,,
15,Hans Peter Storz,Abg,SPD,m,1960,,,
15,Martin Rivoir,Abg,SPD,m,1960,,,
15,Nicolas Fink,Abg,SPD,m,1976,,,
15,Sascha Binder,Abg,SPD,m,1983,,,
15,Sascha Binder,Abg,SPD,m,1983,,,
16,Andreas Kenner,Abg,SPD,m,1956,,,
16,Daniel Born,Abg,SPD,m,1975,,,
16,Daniel Born,Abg,SPD,m,1975,,,
16,Dr Boris Weirauch,Abg,SPD,m,1977,,,
16,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
16,Jonas Weber,Abg,SPD,m,1982,,,
16,Sascha Binder,Abg,SPD,m,1983,,,
17,Dr Boris Weirauch,Abg,SPD,m,1977,,,
17,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
17,Sascha Binder,Abg,SPD,m,1983,,,
17,Sascha Binder,Abg,SPD,m,1983,,,
18,Andreas Stoch,Abg,SPD,m,1969,,,
18,Gabriele Rolland,Abg,SPD,w,1963,,,
18,Jonas Weber,Abg,SPD,m,1982,,,
18,Jonas Weber,Abg,SPD,m,1982,,,
18,Sebastian Cuny,Abg,SPD,m,1978,,,
19,Andreas Kenner,Abg,SPD,m,1956,,,
19,Andreas Kenner,Abg,SPD,m,1956,,,
19,Dr Boris Weirauch,Abg,SPD,m,1977,,,
19,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
19,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
19,Florian Wahl,Abg,SPD,m,1984,,,
19,Florian Wahl,Abg,SPD,m,1984,,,
19,Gernot Gruber,Abg,SPD,m,1963,,,
19,Hans Peter Storz,Abg,SPD,m,1960,,,
19,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
19,Martin Rivoir,Abg,SPD,m,1960,,,
19,Nicolas Fink,Abg,SPD,m,1976,,,
20,Andreas Stoch,Abg,SPD,m,1969,,,
20,Sascha Binder,Abg,SPD,m,1983,,,
21,Sascha Binder,Abg,SPD,m,1983,,,
22,Andreas Stoch,Abg,SPD,m,1969,,,
22,Dr Boris Weirauch,Abg,SPD,m,1977,,,
22,Dr Boris Weirauch,Abg,SPD,m,1977,,,
22,Jan Peter Roederer,Abg,SPD,m,1986,,,
22,Jonas Weber,Abg,SPD,m,1982,,,
22,Sascha Binder,Abg,SPD,m,1983,,,
22,Sascha Binder,Abg,SPD,m,1983,,,
23,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
23,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
23,Gabriele Rolland,Abg,SPD,w,1963,,,
23,Gabriele Rolland,Abg,SPD,w,1963,,,
23,Gernot Gruber,Abg,SPD,m,1963,,,
23,Gernot Gruber,Abg,SPD,m,1963,,,
23,Hans Peter Storz,Abg,SPD,m,1960,,,
23,Martin Rivoir,Abg,SPD,m,1960,,,
23,Sascha Binder,Abg,SPD,m,1983,,,
23,Sascha Binder,Abg,SPD,m,1983,,,
23,Sascha Binder,Abg,SPD,m,1983,,,
24,Florian Wahl,Abg,SPD,m,1984,,,
24,Jonas Hoffmann,Abg,SPD,m,1985,,,
24,Jonas Weber,Abg,SPD,m,1982,,,
24,Nicolas Fink,Abg,SPD,m,1976,,,
25,Andreas Stoch,Abg,SPD,m,1969,,,
25,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
25,Martin Rivoir,Abg,SPD,m,1960,,,
25,Nicolas Fink,Abg,SPD,m,1976,,,
25,Nicolas Fink,Abg,SPD,m,1976,,,
25,Sascha Binder,Abg,SPD,m,1983,,,
26,Andreas Stoch,Abg,SPD,m,1969,,,
26,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
26,Hans Peter Storz,Abg,SPD,m,1960,,,
26,Jonas Hoffmann,Abg,SPD,m,1985,,,
26,Nicolas Fink,Abg,SPD,m,1976,,,
27,Andreas Stoch,Abg,SPD,m,1969,,,
27,Dr Boris Weirauch,Abg,SPD,m,1977,,,
27,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
27,Florian Wahl,Abg,SPD,m,1984,,,
27,Gernot Gruber,Abg,SPD,m,1963,,,
27,Gernot Gruber,Abg,SPD,m,1963,,,
27,Hans Peter Storz,Abg,SPD,m,1960,,,
27,Hans Peter Storz,Abg,SPD,m,1960,,,
27,Jonas Hoffmann,Abg,SPD,m,1985,,,
27,Jonas Weber,Abg,SPD,m,1982,,,
27,Nicolas Fink,Abg,SPD,m,1976,,,
27,Sascha Binder,Abg,SPD,m,1983,,,
28,Daniel Born,Abg,SPD,m,1975,,,
28,Dr Boris Weirauch,Abg,SPD,m,1977,,,
28,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
28,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
28,Florian Wahl,Abg,SPD,m,1984,,,
28,Florian Wahl,Abg,SPD,m,1984,,,
28,Gabriele Rolland,Abg,SPD,w,1963,,,
28,Gabriele Rolland,Abg,SPD,w,1963,,,
28,Gernot Gruber,Abg,SPD,m,1963,,,
28,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
28,Sascha Binder,Abg,SPD,m,1983,,,
28,Sascha Binder,Abg,SPD,m,1983,,,
29,Dr Boris Weirauch,Abg,SPD,m,1977,,,
29,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
29,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
29,Sascha Binder,Abg,SPD,m,1983,,,
30,Andreas Stoch,Abg,SPD,m,1969,,,
31,Andreas Stoch,Abg,SPD,m,1969,,,
31,Dr Boris Weirauch,Abg,SPD,m,1977,,,
31,Dr Boris Weirauch,Abg,SPD,m,1977,,,
31,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
31,Florian Wahl,Abg,SPD,m,1984,,,
31,Florian Wahl,Abg,SPD,m,1984,,,
31,Jonas Weber,Abg,SPD,m,1982,,,
31,Jonas Weber,Abg,SPD,m,1982,,,
31,Sascha Binder,Abg,SPD,m,1983,,,
31,Sascha Binder,Abg,SPD,m,1983,,,
32,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
32,Gabriele Rolland,Abg,SPD,w,1963,,,
32,Gabriele Rolland,Abg,SPD,w,1963,,,
32,Gernot Gruber,Abg,SPD,m,1963,,,
32,Hans Peter Storz,Abg,SPD,m,1960,,,
32,Jan Peter Roederer,Abg,SPD,m,1986,,,
32,Katrin Steinhuelb Joos,Abg,SPD,m,1966,,,
32,Nicolas Fink,Abg,SPD,m,1976,,,
33,Andreas Stoch,Abg,SPD,m,1969,,,
33,Andreas Stoch,Abg,SPD,m,1969,,,
33,Andreas Stoch,Abg,SPD,m,1969,,,
33,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
33,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
33,Jan Peter Roederer,Abg,SPD,m,1986,,,
34,Andreas Stoch,Abg,SPD,m,1969,,,
34,Dr Boris Weirauch,Abg,SPD,m,1977,,,
34,Dr Boris Weirauch,Abg,SPD,m,1977,,,
34,Gabriele Rolland,Abg,SPD,w,1963,,,
34,Gernot Gruber,Abg,SPD,m,1963,,,
34,Gernot Gruber,Abg,SPD,m,1963,,,
34,Jan Peter Roederer,Abg,SPD,m,1986,,,
34,Martin Rivoir,Abg,SPD,m,1960,,,
34,Nicolas Fink,Abg,SPD,m,1976,,,
34,Sascha Binder,Abg,SPD,m,1983,,,
35,Andreas Stoch,Abg,SPD,m,1969,,,
35,Dr Boris Weirauch,Abg,SPD,m,1977,,,
35,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
35,Florian Wahl,Abg,SPD,m,1984,,,
35,Florian Wahl,Abg,SPD,m,1984,,,
35,Gabriele Rolland,Abg,SPD,w,1963,,,
35,Hans Peter Storz,Abg,SPD,m,1960,,,
35,Nicolas Fink,Abg,SPD,m,1976,,,
36,Andreas Stoch,Abg,SPD,m,1969,,,
36,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
36,Jonas Weber,Abg,SPD,m,1982,,,
36,Martin Rivoir,Abg,SPD,m,1960,,,
36,Nicolas Fink,Abg,SPD,m,1976,,,
37,Andreas Stoch,Abg,SPD,m,1969,,,
37,Dr Boris Weirauch,Abg,SPD,m,1977,,,
37,Gernot Gruber,Abg,SPD,m,1963,,,
37,Hans Peter Storz,Abg,SPD,m,1960,,,
37,Sascha Binder,Abg,SPD,m,1983,,,
37,Sascha Binder,Abg,SPD,m,1983,,,
37,Sascha Binder,Abg,SPD,m,1983,,,
38,Dr Boris Weirauch,Abg,SPD,m,1977,,,
38,Dr Boris Weirauch,Abg,SPD,m,1977,,,
38,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
38,Gabriele Rolland,Abg,SPD,w,1963,,,
38,Jonas Hoffmann,Abg,SPD,m,1985,,,
38,Nicolas Fink,Abg,SPD,m,1976,,,
38,Sebastian Cuny,Abg,SPD,m,1978,,,
39,Dr Boris Weirauch,Abg,SPD,m,1977,,,
39,Hans Peter Storz,Abg,SPD,m,1960,,,
39,Jonas Hoffmann,Abg,SPD,m,1985,,,
39,Jonas Weber,Abg,SPD,m,1982,,,
39,Sascha Binder,Abg,SPD,m,1983,,,
39,Sascha Binder,Abg,SPD,m,1983,,,
40,Dr Boris Weirauch,Abg,SPD,m,1977,,,
40,Dr Boris Weirauch,Abg,SPD,m,1977,,,
40,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
40,Florian Wahl,Abg,SPD,m,1984,,,
40,Jan Peter Roederer,Abg,SPD,m,1986,,,
40,Jonas Weber,Abg,SPD,m,1982,,,
40,Jonas Weber,Abg,SPD,m,1982,,,
40,Jonas Weber,Abg,SPD,m,1982,,,
41,Andreas Kenner,Abg,SPD,m,1956,,,
41,Andreas Stoch,Abg,SPD,m,1969,,,
41,Daniel Born,Abg,SPD,m,1975,,,
41,Dr Boris Weirauch,Abg,SPD,m,1977,,,
41,Dr Boris Weirauch,Abg,SPD,m,1977,,,
41,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
41,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
41,Jan Peter Roederer,Abg,SPD,m,1986,,,
41,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
41,Sascha Binder,Abg,SPD,m,1983,,,
42,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
42,Hans Peter Storz,Abg,SPD,m,1960,,,
42,Sascha Binder,Abg,SPD,m,1983,,,
42,Sascha Binder,Abg,SPD,m,1983,,,
43,Andreas Stoch,Abg,SPD,m,1969,,,
43,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
43,Jonas Weber,Abg,SPD,m,1982,,,
43,Martin Rivoir,Abg,SPD,m,1960,,,
43,Nicolas Fink,Abg,SPD,m,1976,,,
44,Andreas Kenner,Abg,SPD,m,1956,,,
44,Andreas Stoch,Abg,SPD,m,1969,,,
44,Daniel Born,Abg,SPD,m,1975,,,
44,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
44,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
44,Florian Wahl,Abg,SPD,m,1984,,,
44,Jan Peter Roederer,Abg,SPD,m,1986,,,
44,Sascha Binder,Abg,SPD,m,1983,,,
44,Sascha Binder,Abg,SPD,m,1983,,,
44,Sebastian Cuny,Abg,SPD,m,1978,,,
45,Andreas Stoch,Abg,SPD,m,1969,,,
45,Daniel Born,Abg,SPD,m,1975,,,
45,Dr Boris Weirauch,Abg,SPD,m,1977,,,
45,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
45,Florian Wahl,Abg,SPD,m,1984,,,
45,Hans Peter Storz,Abg,SPD,m,1960,,,
45,Sascha Binder,Abg,SPD,m,1983,,,
46,Andreas Stoch,Abg,SPD,m,1969,,,
46,Daniel Born,Abg,SPD,m,1975,,,
46,Florian Wahl,Abg,SPD,m,1984,,,
46,Jonas Weber,Abg,SPD,m,1982,,,
46,Nicolas Fink,Abg,SPD,m,1976,,,
46,Sascha Binder,Abg,SPD,m,1983,,,
47,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
47,Dr Stefan Fulst Blei,Abg,SPD,m,1968,,,
47,Florian Wahl,Abg,SPD,m,1984,,,
47,Gabriele Rolland,Abg,SPD,w,1963,,,
47,Gernot Gruber,Abg,SPD,m,1963,,,
47,Jonas Hoffmann,Abg,SPD,m,1985,,,
47,Jonas Hoffmann,Abg,SPD,m,1985,,,
47,Jonas Weber,Abg,SPD,m,1982,,,
47,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
47,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
47,Katrin Steinhuelb Joos,Abg,SPD,w,1966,,,
47,Nicolas Fink,Abg,SPD,m,1976,,,
48,Andreas Stoch,Abg,SPD,m,1969,,,
48,Daniel Born,Abg,SPD,m,1975,,,
48,Jonas Hoffmann,Abg,SPD,m,1985,,,
49,Andreas Stoch,Abg,SPD,m,1969,,,
49,Dr Boris Weirauch,Abg,SPD,m,1977,,,
49,Dr Dorothea Kliche Behnke,Abg,SPD,w,1981,,,
49,Hans Peter Storz,Abg,SPD,m,1960,,,
49,Hans Peter Storz,Abg,SPD,m,1960,,,
49,Jonas Hoffmann,Abg,SPD,m,1985,,,
49,Jonas Hoffmann,Abg,SPD,m,1985,,,
